gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Student_ID,Feedback_Text,Risk_Level,gpa,attendance_rate,participation_score,late_submissions
male,group C,high school,free/reduced,none,69,62,58,STU13101,I sometimes fall behind on homework but catch up eventually.,1,2.68,74,50,4
male,group D,some high school,free/reduced,none,53,49,51,STU13102,I understand lectures but struggle with practice problems.,1,1.77,87,50,2
female,group C,associate's degree,standard,completed,72,67,77,STU13103,The study materials are excellent and easy to follow.,0,2.56,90,77,1
female,group D,master's degree,standard,none,51,61,69,STU13104,I missed several classes and can't catch up.,2,2.43,71,10,14
female,group C,high school,free/reduced,none,34,46,41,STU13105,I don't understand the lectures at all anymore.,2,1.56,47,42,10
male,group D,bachelor's degree,standard,completed,70,70,76,STU13106,I am doing well and understanding the concepts clearly.,0,2.92,95,93,2
male,group D,some college,free/reduced,none,76,57,59,STU13107,I sometimes fall behind on homework but catch up eventually.,1,2.71,82,85,5
female,group B,some high school,standard,none,64,93,77,STU13108,I am satisfied with my performance and feel well-prepared.,0,3.32,95,82,1
male,group C,high school,free/reduced,completed,53,48,48,STU13109,I have no motivation to study anymore.,2,2.27,44,45,10
female,group C,high school,free/reduced,none,33,65,49,STU13110,I think I might fail this course without help.,2,2.03,51,42,8
male,group E,associate's degree,standard,completed,84,80,74,STU13111,I am doing well and understanding the concepts clearly.,0,3.02,86,96,0
female,group C,associate's degree,standard,completed,56,73,76,STU13112,I need to study more consistently going forward.,1,2.94,75,50,1
male,group D,bachelor's degree,standard,none,78,70,74,STU13113,I love this subject and enjoy the classes.,0,2.99,92,79,2
female,group C,some college,standard,completed,64,81,75,STU13114,I did okay but could do better with more effort.,1,2.76,85,67,2
female,group B,some college,standard,completed,51,69,69,STU13115,My grades are acceptable but not where I want them.,1,2.54,73,54,4
male,group D,associate's degree,standard,completed,65,53,59,STU13116,I don't understand the lectures at all anymore.,2,2.53,40,18,15
female,group A,associate's degree,free/reduced,none,41,47,51,STU13117,I struggled a lot with the material this term.,2,1.96,43,27,15
female,group E,high school,free/reduced,none,61,66,69,STU13118,I love this subject and enjoy the classes.,0,2.32,99,90,1
female,group C,some college,standard,completed,63,78,83,STU13119,I need to study more consistently going forward.,1,2.67,81,62,1
female,group E,some college,standard,completed,82,87,88,STU13120,I feel supported by my teachers and peers.,0,3.13,87,88,1
female,group C,associate's degree,standard,none,41,69,52,STU13121,I feel overwhelmed by the amount of work assigned.,2,1.92,43,32,15
male,group B,some college,free/reduced,none,37,39,29,STU13122,I have no motivation to study anymore.,2,1.75,68,39,11
female,group D,some college,standard,completed,73,76,82,STU13123,I am doing well and understanding the concepts clearly.,0,3.15,92,79,0
male,group C,some college,standard,none,67,59,56,STU13124,I think I could do better if I focused more.,1,2.51,83,54,4
female,group D,associate's degree,free/reduced,none,49,58,57,STU13125,I need more time to grasp certain concepts.,1,2.48,75,83,2
female,group D,some college,standard,completed,69,77,80,STU13126,The test was manageable and I understood most concepts.,0,2.64,92,98,2
female,group C,some high school,standard,none,67,73,79,STU13127,The exam was average difficulty for me.,1,2.83,74,55,2
female,group D,associate's degree,free/reduced,completed,75,84,90,STU13128,The test was manageable and I understood most concepts.,0,2.93,86,86,1
male,group E,associate's degree,standard,none,72,59,61,STU13129,Some topics are clear but others are confusing.,1,2.49,82,79,1
female,group D,some college,standard,none,74,89,80,STU13130,I consistently complete assignments on time and enjoy learning.,0,3.16,89,77,2
male,group C,some high school,free/reduced,none,69,67,61,STU13131,I consistently complete assignments on time and enjoy learning.,0,2.28,94,99,1
male,group E,bachelor's degree,standard,completed,88,61,73,STU13132,I am satisfied with my performance and feel well-prepared.,0,2.91,91,96,1
male,group D,associate's degree,free/reduced,none,62,62,59,STU13133,"It was fine, not great. I have room to improve.",1,2.49,81,50,3
female,group D,bachelor's degree,standard,completed,63,76,83,STU13134,I consistently complete assignments on time and enjoy learning.,0,2.71,90,87,0
female,group B,some high school,free/reduced,none,49,62,60,STU13135,I need more time to grasp certain concepts.,1,2.12,74,66,2
female,group C,some college,standard,completed,92,94,98,STU13136,I enjoy group projects and collaborative learning.,0,3.5,95,95,2
female,group E,some high school,standard,completed,85,89,90,STU13137,The study materials are excellent and easy to follow.,0,3.66,88,96,2
female,group C,some college,standard,none,65,76,75,STU13138,I think I could do better if I focused more.,1,2.51,85,56,5
male,group D,some high school,free/reduced,none,42,42,38,STU13139,My home situation makes it hard to focus on studies.,2,1.74,59,15,14
male,group A,high school,free/reduced,none,49,50,48,STU13140,I'm considering dropping out because I can't keep up.,2,1.74,75,31,7
female,group B,associate's degree,standard,none,75,84,80,STU13141,I feel supported by my teachers and peers.,0,3.56,94,89,0
male,group D,associate's degree,standard,none,55,56,50,STU13142,I'm considering dropping out because I can't keep up.,2,2.17,54,25,8
female,group B,some college,standard,none,65,77,79,STU13143,I need more time to grasp certain concepts.,1,3.1,72,55,3
female,group C,high school,standard,none,58,73,64,STU13144,My performance varies a lot depending on the subject.,1,2.22,78,73,4
female,group A,high school,standard,completed,77,78,84,STU13145,I enjoy group projects and collaborative learning.,0,3.52,93,90,1
female,group A,bachelor's degree,standard,none,48,50,47,STU13146,I feel overwhelmed by the amount of work assigned.,2,2.25,57,50,9
female,group E,associate's degree,standard,completed,63,78,74,STU13147,Some topics are clear but others are confusing.,1,2.82,88,80,3
male,group E,some high school,standard,none,96,87,75,STU13148,I consistently complete assignments on time and enjoy learning.,0,3.62,97,100,0
male,group A,some college,free/reduced,none,53,56,55,STU13149,My home situation makes it hard to focus on studies.,2,1.85,61,28,9
female,group C,associate's degree,standard,none,65,75,77,STU13150,The study materials are excellent and easy to follow.,0,2.95,94,91,0
female,group B,some college,free/reduced,none,69,78,80,STU13151,My confidence in this subject has grown significantly.,0,3.24,89,85,1
female,group E,associate's degree,standard,none,82,92,90,STU13152,I find the coursework challenging but rewarding.,0,3.36,99,80,0
female,group C,associate's degree,standard,none,48,62,58,STU13153,I need more time to grasp certain concepts.,2,2.62,48,25,9
female,group C,associate's degree,standard,completed,88,86,91,STU13154,I enjoy group projects and collaborative learning.,0,3.92,93,80,1
female,group E,associate's degree,free/reduced,none,68,88,86,STU13155,The test was manageable and I understood most concepts.,0,3.06,93,95,2
male,group C,high school,standard,none,79,79,72,STU13156,I find the coursework challenging but rewarding.,0,3.3,90,88,0
female,group E,high school,standard,none,100,88,95,STU13157,"Great learning experience, the teacher is very helpful.",0,4.0,91,97,0
male,group C,some high school,standard,none,74,68,58,STU13158,I consistently complete assignments on time and enjoy learning.,0,2.88,92,78,2
male,group A,high school,free/reduced,none,44,46,46,STU13159,I struggled a lot with the material this term.,2,1.96,47,41,12
female,group D,high school,standard,none,77,82,79,STU13160,My confidence in this subject has grown significantly.,0,2.91,88,77,1
male,group C,high school,standard,completed,67,72,60,STU13161,My study habits are strong and I feel on track.,0,3.0,93,85,0
female,group C,associate's degree,free/reduced,none,69,82,75,STU13162,I love this subject and enjoy the classes.,0,3.39,93,98,0
female,group D,some high school,free/reduced,completed,45,60,68,STU13163,My grades are acceptable but not where I want them.,1,2.28,78,81,1
male,group E,bachelor's degree,standard,completed,76,58,70,STU13164,I love this subject and enjoy the classes.,0,2.45,85,97,2
male,group E,associate's degree,standard,completed,100,77,89,STU13165,I consistently complete assignments on time and enjoy learning.,0,3.85,89,82,1
female,group C,associate's degree,standard,completed,70,83,85,STU13166,My study habits are strong and I feel on track.,0,3.24,97,96,1
female,group B,associate's degree,standard,none,75,76,79,STU13167,I consistently complete assignments on time and enjoy learning.,0,3.04,88,83,0
male,group E,high school,standard,completed,80,84,80,STU13168,I'm motivated to keep improving my grades.,0,3.59,96,79,1
male,group D,bachelor's degree,standard,none,83,81,83,STU13169,I feel supported by my teachers and peers.,0,2.91,96,85,2
female,group C,some high school,standard,completed,70,76,72,STU13170,My grades are acceptable but not where I want them.,0,2.63,90,98,0
male,group D,associate's degree,standard,completed,76,73,75,STU13171,I feel confident about my progress this semester.,0,3.12,91,78,1
female,group B,bachelor's degree,standard,completed,68,73,79,STU13172,"Great learning experience, the teacher is very helpful.",0,2.99,88,99,0
female,group C,some high school,free/reduced,completed,70,81,92,STU13173,I enjoy group projects and collaborative learning.,0,3.48,87,90,0
female,group A,some college,standard,none,66,87,84,STU13174,The exam was average difficulty for me.,0,2.92,96,86,2
male,group D,associate's degree,standard,none,45,51,39,STU13175,I understand lectures but struggle with practice problems.,1,2.13,70,61,5
male,group C,associate's degree,free/reduced,none,78,64,59,STU13176,My confidence in this subject has grown significantly.,0,2.48,89,98,1
male,group D,some high school,standard,none,61,56,55,STU13177,I don't understand the lectures at all anymore.,2,2.58,53,25,6
female,group D,some college,standard,completed,82,81,91,STU13178,I feel confident about my progress this semester.,0,3.54,99,82,2
female,group E,high school,free/reduced,none,65,62,67,STU13179,My grades are acceptable but not where I want them.,1,2.67,70,68,3
female,group C,associate's degree,standard,none,96,90,96,STU13180,My confidence in this subject has grown significantly.,0,3.91,92,100,1
female,group B,master's degree,free/reduced,completed,74,100,99,STU13181,I love this subject and enjoy the classes.,0,3.58,87,91,1
female,group B,some college,standard,none,67,65,63,STU13182,I sometimes fall behind on homework but catch up eventually.,1,2.93,87,79,1
male,group D,associate's degree,free/reduced,completed,74,84,76,STU13183,I participate actively in class discussions.,0,3.21,88,99,2
male,group D,bachelor's degree,free/reduced,none,65,63,70,STU13184,I need more time to grasp certain concepts.,1,2.54,73,50,4
female,group C,some high school,free/reduced,none,62,85,75,STU13185,I consistently complete assignments on time and enjoy learning.,0,3.08,92,92,2
female,group C,bachelor's degree,standard,completed,79,90,95,STU13186,I participate actively in class discussions.,0,3.27,87,90,2
male,group B,associate's degree,free/reduced,completed,71,66,60,STU13187,I think I could do better if I focused more.,1,2.79,78,84,3
male,group B,high school,standard,completed,59,49,46,STU13188,I have difficulty concentrating during class.,2,2.01,56,18,6
female,group C,some high school,standard,completed,39,52,57,STU13189,"It was fine, not great. I have room to improve.",1,2.36,74,60,5
female,group D,some college,standard,none,78,93,85,STU13190,I am satisfied with my performance and feel well-prepared.,0,3.62,94,83,0
female,group C,associate's degree,standard,none,92,92,92,STU13191,I am doing well and understanding the concepts clearly.,0,3.82,89,97,2
female,group C,some college,standard,completed,74,71,78,STU13192,I think I could do better if I focused more.,1,2.72,81,75,1
female,group B,high school,standard,completed,57,67,73,STU13193,My confidence in this subject has grown significantly.,0,3.02,95,81,1
female,group D,some high school,free/reduced,none,29,34,37,STU13194,I attend classes regularly but don't always pay attention.,2,1.13,70,25,5
female,group C,high school,free/reduced,completed,70,83,88,STU13195,My confidence in this subject has grown significantly.,0,3.24,93,87,2
female,group B,bachelor's degree,standard,completed,71,71,86,STU13196,I enjoy group projects and collaborative learning.,0,2.72,92,75,1
male,group B,associate's degree,standard,completed,82,84,78,STU13197,I'm motivated to keep improving my grades.,0,3.54,94,99,0
female,group D,bachelor's degree,standard,completed,69,71,82,STU13198,I am doing well and understanding the concepts clearly.,0,3.27,87,82,1
male,group E,associate's degree,standard,none,67,61,62,STU13199,I think I could do better if I focused more.,1,2.76,82,64,5
female,group D,some college,standard,none,60,72,77,STU13200,I sometimes fall behind on homework but catch up eventually.,1,2.7,80,67,4
female,group C,some high school,standard,none,59,75,68,STU13201,I am doing well and understanding the concepts clearly.,0,2.35,90,95,2
male,group C,associate's degree,standard,none,58,60,55,STU13202,The test was manageable and I understood most concepts.,0,2.48,87,77,2
male,group C,bachelor's degree,free/reduced,none,33,58,52,STU13203,I'm considering dropping out because I can't keep up.,2,1.85,41,46,14
female,group C,high school,standard,none,79,88,86,STU13204,The test was manageable and I understood most concepts.,0,3.27,91,93,1
female,group C,associate's degree,standard,none,47,51,58,STU13205,I have difficulty concentrating during class.,2,1.83,70,10,6
male,group B,associate's degree,free/reduced,completed,80,79,75,STU13206,I am satisfied with my performance and feel well-prepared.,0,3.07,90,96,0
female,group C,associate's degree,standard,completed,48,59,58,STU13207,My confidence in this subject has grown significantly.,0,1.88,87,79,1
male,group B,high school,standard,completed,71,61,63,STU13208,I love this subject and enjoy the classes.,0,2.8,98,94,1
male,group C,master's degree,standard,none,76,71,73,STU13209,I find the coursework challenging but rewarding.,0,2.86,100,81,0
male,group E,some college,standard,none,78,72,68,STU13210,My study habits are strong and I feel on track.,0,2.69,90,79,1
female,group B,some college,free/reduced,completed,51,68,75,STU13211,I think I could do better if I focused more.,1,2.55,80,83,5
male,group C,master's degree,standard,none,74,75,82,STU13212,I find the coursework challenging but rewarding.,0,3.12,96,82,2
female,group A,associate's degree,standard,completed,60,65,78,STU13213,I think I could do better if I focused more.,1,3.03,79,62,1
female,group B,some college,standard,none,86,86,84,STU13214,I find the coursework challenging but rewarding.,0,3.63,95,84,0
male,group B,high school,standard,completed,70,70,73,STU13215,I participate actively in class discussions.,0,3.07,95,80,0
female,group D,some college,free/reduced,none,58,70,67,STU13216,I am satisfied with my performance and feel well-prepared.,0,2.67,96,75,1
female,group D,some college,standard,none,52,59,56,STU13217,I attend classes regularly but don't always pay attention.,1,2.05,90,79,3
female,group C,bachelor's degree,free/reduced,none,46,55,56,STU13218,I need to study more consistently going forward.,2,2.03,75,39,10
female,group B,high school,standard,none,84,93,89,STU13219,"Great learning experience, the teacher is very helpful.",0,3.68,98,90,1
female,group B,high school,standard,none,62,66,55,STU13220,I sometimes fall behind on homework but catch up eventually.,1,2.78,72,76,2
male,group C,high school,free/reduced,none,54,60,49,STU13221,I don't understand the lectures at all anymore.,2,2.57,56,31,4
male,group A,some college,free/reduced,none,55,62,52,STU13222,I love this subject and enjoy the classes.,0,2.41,100,81,0
female,group C,associate's degree,standard,none,45,63,54,STU13223,I feel overwhelmed by the amount of work assigned.,2,2.21,51,39,11
female,group C,high school,free/reduced,none,57,76,62,STU13224,I feel supported by my teachers and peers.,0,2.72,89,93,2
female,group E,associate's degree,standard,none,64,75,67,STU13225,I am doing well and understanding the concepts clearly.,0,2.9,99,98,0
male,group B,high school,standard,none,44,47,43,STU13226,I think I might fail this course without help.,2,1.47,73,20,11
female,group B,high school,free/reduced,completed,23,48,32,STU13227,I feel overwhelmed by the amount of work assigned.,2,1.31,55,15,9
male,group B,some college,standard,none,61,47,47,STU13228,My home situation makes it hard to focus on studies.,2,2.35,61,49,10
female,group D,some high school,standard,completed,100,96,100,STU13229,I am doing well and understanding the concepts clearly.,0,3.88,98,82,1
female,group B,some high school,standard,none,58,67,76,STU13230,I understand lectures but struggle with practice problems.,1,3.0,79,64,3
male,group B,associate's degree,standard,completed,62,64,68,STU13231,I understand lectures but struggle with practice problems.,1,2.9,89,57,4
female,group C,some high school,free/reduced,completed,48,63,56,STU13232,"I feel neutral about school, neither excited nor worried.",1,2.43,77,66,3
male,group D,associate's degree,standard,none,61,59,51,STU13233,I understand the basics but struggle with advanced topics.,1,2.58,83,66,1
female,group C,some college,standard,none,89,85,87,STU13234,I participate actively in class discussions.,0,3.75,90,79,0
female,group B,associate's degree,standard,none,72,81,85,STU13235,I am satisfied with my performance and feel well-prepared.,0,3.17,89,94,2
male,group C,some college,standard,completed,75,76,77,STU13236,My study habits are strong and I feel on track.,0,2.81,93,78,0
male,group D,some college,standard,none,68,62,63,STU13237,I did okay but could do better with more effort.,1,2.78,84,58,1
female,group C,some high school,standard,none,60,75,68,STU13238,The test was manageable and I understood most concepts.,0,2.92,100,85,1
male,group D,some college,standard,completed,87,81,83,STU13239,I feel supported by my teachers and peers.,0,3.22,94,95,2
female,group E,some college,free/reduced,completed,38,50,50,STU13240,I don't understand the lectures at all anymore.,2,2.08,48,18,4
female,group C,high school,standard,none,56,77,64,STU13241,I am satisfied with my performance and feel well-prepared.,0,2.68,94,87,0
male,group C,high school,standard,none,74,71,69,STU13242,I find the coursework challenging but rewarding.,0,2.5,85,79,2
male,group B,some college,standard,none,76,62,70,STU13243,The exam was average difficulty for me.,1,2.47,84,71,4
male,group E,some college,standard,none,64,51,38,STU13244,I missed several classes and can't catch up.,2,1.95,61,47,9
male,group A,associate's degree,free/reduced,completed,74,79,79,STU13245,I'm motivated to keep improving my grades.,0,3.07,85,92,1
male,group D,associate's degree,standard,none,41,49,44,STU13246,I have no motivation to study anymore.,2,1.85,53,14,8
male,group B,some college,standard,none,58,52,54,STU13247,I missed several classes and can't catch up.,2,1.99,60,35,10
female,group D,some college,standard,completed,73,72,78,STU13248,The test was manageable and I understood most concepts.,0,3.01,96,76,0
female,group C,associate's degree,standard,none,57,78,69,STU13249,I feel confident about my progress this semester.,0,2.65,89,76,0
female,group C,some high school,standard,completed,65,86,80,STU13250,I love this subject and enjoy the classes.,0,2.91,93,88,0
female,group E,high school,standard,none,77,76,74,STU13251,I'm motivated to keep improving my grades.,0,2.87,99,97,2
male,group A,some high school,free/reduced,none,66,58,51,STU13252,The workload is manageable but sometimes overwhelming.,1,2.57,82,84,1
female,group E,associate's degree,standard,none,89,92,94,STU13253,I am satisfied with my performance and feel well-prepared.,0,3.99,95,97,2
male,group B,some college,free/reduced,none,63,62,56,STU13254,I feel anxious about exams and my future.,2,2.32,43,19,14
male,group B,some high school,standard,completed,84,79,77,STU13255,The test was manageable and I understood most concepts.,0,3.58,99,84,0
male,group D,associate's degree,standard,completed,80,77,72,STU13256,My study habits are strong and I feel on track.,0,3.45,94,81,1
male,group B,some college,free/reduced,none,54,55,41,STU13257,"It was fine, not great. I have room to improve.",1,2.23,81,53,2
female,group C,some college,standard,completed,80,79,81,STU13258,I feel confident about my progress this semester.,0,3.29,93,88,1
male,group D,some high school,free/reduced,none,41,33,38,STU13259,I don't understand the lectures at all anymore.,2,1.69,50,22,7
male,group D,high school,standard,none,62,55,50,STU13260,I feel confident about my progress this semester.,0,2.01,89,75,0
female,group B,some college,standard,completed,85,90,93,STU13261,I am doing well and understanding the concepts clearly.,0,3.97,91,81,0
female,group D,some college,free/reduced,none,50,56,65,STU13262,"It was fine, not great. I have room to improve.",1,2.21,84,54,1
male,group E,some college,standard,none,71,63,58,STU13263,I attend classes regularly but don't always pay attention.,1,2.45,70,78,4
female,group A,associate's degree,free/reduced,none,40,49,46,STU13264,I sometimes fall behind on homework but catch up eventually.,1,1.68,80,65,1
male,group B,some high school,standard,none,74,60,58,STU13265,I think I could do better if I focused more.,1,2.2,75,64,5
female,group C,high school,standard,none,58,63,59,STU13266,I understand the basics but struggle with advanced topics.,1,2.14,70,63,3
female,group D,high school,standard,completed,65,81,82,STU13267,The study materials are excellent and easy to follow.,0,3.27,86,79,2
female,group B,high school,standard,none,78,87,90,STU13268,"Great learning experience, the teacher is very helpful.",0,3.76,85,77,1
male,group B,high school,standard,completed,49,46,42,STU13269,I think I might fail this course without help.,2,1.53,43,33,4
female,group A,bachelor's degree,standard,none,54,44,53,STU13270,My home situation makes it hard to focus on studies.,2,2.35,56,44,11
male,group C,some college,free/reduced,completed,68,78,70,STU13271,The test was manageable and I understood most concepts.,0,2.86,100,85,1
female,group C,some college,standard,none,86,89,88,STU13272,I consistently complete assignments on time and enjoy learning.,0,3.74,90,83,0
male,group D,some high school,standard,completed,79,66,75,STU13273,I'm motivated to keep improving my grades.,0,2.96,99,79,2
female,group B,some college,standard,none,23,35,31,STU13274,I have difficulty concentrating during class.,2,1.06,44,21,6
male,group C,associate's degree,standard,none,67,62,55,STU13275,I did okay but could do better with more effort.,1,2.52,80,74,4
male,group B,high school,standard,completed,79,58,60,STU13276,I understand the basics but struggle with advanced topics.,1,2.96,74,65,4
male,group D,some high school,free/reduced,none,59,41,37,STU13277,"It was fine, not great. I have room to improve.",1,2.04,72,61,1
male,group C,associate's degree,standard,completed,49,64,60,STU13278,The test was manageable and I understood most concepts.,0,2.0,99,91,0
female,group D,some high school,free/reduced,none,43,51,58,STU13279,Some topics are clear but others are confusing.,1,2.07,89,53,1
male,group D,high school,free/reduced,none,68,71,74,STU13280,I am satisfied with my performance and feel well-prepared.,0,2.83,86,100,2
female,group B,some high school,standard,completed,61,72,73,STU13281,"I feel neutral about school, neither excited nor worried.",1,2.43,89,66,3
female,group D,bachelor's degree,free/reduced,none,74,88,94,STU13282,I feel confident about my progress this semester.,0,3.6,88,90,0
male,group B,bachelor's degree,free/reduced,none,90,73,73,STU13283,I feel confident about my progress this semester.,0,3.47,97,98,1
male,group C,high school,standard,none,51,50,54,STU13284,My performance varies a lot depending on the subject.,1,1.8,81,68,2
female,group B,some college,standard,none,80,91,96,STU13285,I feel confident about my progress this semester.,0,3.3,95,96,1
female,group B,master's degree,standard,none,75,85,82,STU13286,I find the coursework challenging but rewarding.,0,3.13,91,81,2
male,group A,bachelor's degree,standard,none,63,62,62,STU13287,The workload is manageable but sometimes overwhelming.,1,2.25,79,68,3
female,group B,some high school,standard,none,72,59,68,STU13288,I feel supported by my teachers and peers.,0,2.5,100,91,2
female,group B,some college,free/reduced,none,56,69,69,STU13289,Some topics are clear but others are confusing.,1,2.56,75,50,3
female,group D,bachelor's degree,free/reduced,none,73,89,92,STU13290,I find the coursework challenging but rewarding.,0,3.6,96,77,2
female,group D,some high school,standard,completed,62,58,70,STU13291,Some topics are clear but others are confusing.,1,2.68,85,66,5
female,group B,associate's degree,standard,none,77,84,87,STU13292,The study materials are excellent and easy to follow.,0,3.22,91,80,2
male,group C,some college,free/reduced,completed,54,50,53,STU13293,I feel overwhelmed by the amount of work assigned.,2,1.84,71,40,9
male,group D,associate's degree,standard,completed,63,59,64,STU13294,I need to study more consistently going forward.,1,2.53,70,76,1
male,group C,some college,free/reduced,none,65,73,57,STU13295,Some topics are clear but others are confusing.,1,2.31,89,58,1
male,group A,associate's degree,standard,none,72,57,48,STU13296,"I feel neutral about school, neither excited nor worried.",1,2.09,88,68,1
female,group C,master's degree,standard,none,78,73,75,STU13297,The test was manageable and I understood most concepts.,0,3.31,98,81,0
male,group D,bachelor's degree,free/reduced,completed,79,75,75,STU13298,I feel confident about my progress this semester.,0,2.91,97,82,1
female,group D,some college,standard,completed,80,88,95,STU13299,I love this subject and enjoy the classes.,0,3.68,89,95,1
female,group B,bachelor's degree,free/reduced,none,70,81,80,STU13300,I feel confident about my progress this semester.,0,3.26,90,76,1
female,group D,associate's degree,free/reduced,none,52,59,52,STU13301,I don't understand the lectures at all anymore.,2,2.27,41,45,9
female,group D,some college,standard,none,76,71,78,STU13302,The test was manageable and I understood most concepts.,0,3.18,92,95,2
male,group E,bachelor's degree,standard,completed,100,95,99,STU13303,I enjoy group projects and collaborative learning.,0,3.55,92,97,0
female,group D,bachelor's degree,free/reduced,none,58,72,69,STU13304,I'm motivated to keep improving my grades.,0,2.93,88,80,0
female,group C,some high school,free/reduced,completed,63,78,77,STU13305,"Great learning experience, the teacher is very helpful.",0,3.24,88,97,1
male,group C,associate's degree,standard,completed,53,64,62,STU13306,I need more time to grasp certain concepts.,1,2.32,85,75,3
female,group D,some high school,standard,completed,61,70,73,STU13307,The exam was average difficulty for me.,1,2.41,80,66,5
female,group D,master's degree,standard,none,48,60,66,STU13308,I attend classes regularly but don't always pay attention.,1,2.16,74,50,1
female,group D,some college,standard,none,77,86,77,STU13309,I enjoy group projects and collaborative learning.,0,3.26,100,89,2
male,group E,associate's degree,standard,none,67,56,63,STU13310,"It was fine, not great. I have room to improve.",1,2.5,82,75,3
male,group D,associate's degree,standard,none,36,49,48,STU13311,I feel isolated and don't have anyone to help me.,2,1.62,47,48,10
female,group C,associate's degree,standard,none,51,53,53,STU13312,The questions were confusing and I couldn't finish on time.,2,1.84,49,37,6
male,group D,some college,standard,completed,67,78,74,STU13313,I love this subject and enjoy the classes.,0,2.76,87,76,1
female,group C,master's degree,free/reduced,none,42,56,49,STU13314,I understand the basics but struggle with advanced topics.,1,2.2,73,68,4
male,group C,high school,free/reduced,none,32,37,37,STU13315,I missed several classes and can't catch up.,2,1.47,47,15,11
female,group D,some college,standard,completed,82,91,99,STU13316,My confidence in this subject has grown significantly.,0,3.35,98,93,2
female,group C,associate's degree,standard,none,86,81,77,STU13317,I find the coursework challenging but rewarding.,0,3.08,88,95,0
male,group E,master's degree,standard,none,88,81,82,STU13318,I participate actively in class discussions.,0,3.04,85,76,0
female,group C,some high school,standard,none,51,53,57,STU13319,I feel overwhelmed by the amount of work assigned.,2,2.34,50,10,4
male,group D,some high school,standard,none,74,68,60,STU13320,I feel supported by my teachers and peers.,0,2.42,95,81,2
female,group A,some high school,free/reduced,none,44,44,41,STU13321,I feel overwhelmed by the amount of work assigned.,2,1.4,60,50,4
female,group C,some high school,standard,none,70,73,79,STU13322,I feel confident about my progress this semester.,0,3.27,92,92,2
male,group D,some college,free/reduced,none,74,68,64,STU13323,I am doing well and understanding the concepts clearly.,0,2.48,98,100,2
male,group D,master's degree,standard,none,77,72,73,STU13324,I enjoy group projects and collaborative learning.,0,3.05,86,89,1
male,group D,associate's degree,free/reduced,none,49,60,55,STU13325,I feel overwhelmed by the amount of work assigned.,2,2.15,67,25,7
female,group C,associate's degree,standard,none,49,66,56,STU13326,My performance varies a lot depending on the subject.,1,2.05,86,74,2
female,group B,associate's degree,standard,none,53,58,62,STU13327,I sometimes fall behind on homework but catch up eventually.,1,2.5,86,71,1
male,group D,master's degree,standard,none,85,78,75,STU13328,I feel supported by my teachers and peers.,0,3.21,97,80,1
female,group A,bachelor's degree,standard,none,50,54,46,STU13329,The questions were confusing and I couldn't finish on time.,2,1.84,46,10,5
female,group C,some high school,free/reduced,none,4,14,11,STU13330,The questions were confusing and I couldn't finish on time.,2,0.39,50,22,7
female,group D,some college,free/reduced,none,54,70,67,STU13331,I need to study more consistently going forward.,1,2.58,86,64,3
female,group D,associate's degree,free/reduced,none,30,31,39,STU13332,My home situation makes it hard to focus on studies.,2,1.52,44,43,11
male,group E,associate's degree,standard,completed,96,79,92,STU13333,I am doing well and understanding the concepts clearly.,0,3.77,85,87,1
female,group D,some college,standard,none,78,85,84,STU13334,My study habits are strong and I feel on track.,0,3.41,98,99,2
female,group D,associate's degree,free/reduced,none,25,32,36,STU13335,The course material is too difficult for me.,2,1.31,40,50,12
female,group C,some high school,free/reduced,none,45,61,49,STU13336,I feel isolated and don't have anyone to help me.,2,1.88,44,49,6
female,group C,some college,free/reduced,none,36,43,45,STU13337,I have difficulty concentrating during class.,2,2.02,47,39,12
male,group D,some college,standard,none,79,76,68,STU13338,I am doing well and understanding the concepts clearly.,0,2.91,92,92,2
female,group D,associate's degree,free/reduced,completed,72,85,88,STU13339,"Great learning experience, the teacher is very helpful.",0,3.26,85,97,2
male,group C,associate's degree,standard,completed,83,100,100,STU13340,I feel confident about my progress this semester.,0,3.67,97,92,1
female,group A,some college,standard,completed,75,79,82,STU13341,I enjoy group projects and collaborative learning.,0,3.44,88,79,1
male,group E,some college,free/reduced,none,88,88,83,STU13342,My study habits are strong and I feel on track.,0,3.55,90,85,1
female,group B,some high school,standard,completed,65,73,65,STU13343,"Great learning experience, the teacher is very helpful.",0,2.81,85,99,1
male,group E,associate's degree,free/reduced,none,62,55,48,STU13344,My grades are acceptable but not where I want them.,1,2.49,70,78,3
female,group C,high school,free/reduced,none,28,45,41,STU13345,I'm considering dropping out because I can't keep up.,2,1.73,66,37,13
female,group E,some college,standard,none,71,70,76,STU13346,I understand the basics but struggle with advanced topics.,1,2.84,89,75,4
female,group D,bachelor's degree,standard,none,77,92,89,STU13347,I am satisfied with my performance and feel well-prepared.,0,3.48,99,84,2
male,group B,some high school,standard,completed,78,86,81,STU13348,I'm motivated to keep improving my grades.,0,3.31,94,87,1
male,group A,some college,free/reduced,completed,49,46,56,STU13349,My performance varies a lot depending on the subject.,1,2.1,86,69,1
female,group D,some high school,free/reduced,none,70,80,80,STU13350,I consistently complete assignments on time and enjoy learning.,0,2.9,99,91,2
female,group D,some college,free/reduced,none,53,65,61,STU13351,I attend classes regularly but don't always pay attention.,1,2.42,87,56,4
